SurveyNumber	SubjectId	ChoiceSet	Route	Origin	OriginCityCode	OriginCityName	Destination	DestinationCityCode	DestinationCityName	DepartureDate	DepartureDay	DepartureTime	ReturnDate	ReturnDay	ReturnTime	Duration	FirstSearchDate	SearchDate	SearchDay	DaysFromDeparture	SideStepReturnCustomer	RouteGroup	OriginGMT	DestinationGMT	TimeZoneChanges	Direction	FlyingTime	LocalFlyingTime	Distance	BadOD	q01_OwnFlight	q02_TripPurpose	q03_WhoPays	q04_Reimbursed	q05_MostAttractive	q06_LeastAttractive	q07_CancelTrip	q08_OtherMode	q09_RoundTrips	q10_RoundTripsForOD	q11_DepartureOrArrivalIsImportant	q12_IdealDepTime	q13_IdealArrTime	q14_PartySize	q15_Age	q16_Income	q17_Gender	q18_ZipCode	q19_Occupation	q20_Education	AirlineFirstFlight_1	AirlineFirstFlight_2	AirlineFirstFlight_3	AirlineSecondFlight_1	AirlineSecondFlight_2	AirlineSecondFlight_3	AirplaneFirstFlight_1	AirplaneFirstFlight_2	AirplaneFirstFlight_3	AirplaneSecondFlight_1	AirplaneSecondFlight_2	AirplaneSecondFlight_3	DepartureTimeHours_1	DepartureTimeHours_2	DepartureTimeHours_3	DepartureTimeMins_1	DepartureTimeMins_2	DepartureTimeMins_3	StopTime_1	StopTime_2	StopTime_3	ArrivalTimeHours_1	ArrivalTimeHours_2	ArrivalTimeHours_3	ArrivalTimeMins_1	ArrivalTimeMins_2	ArrivalTimeMins_3	FlyingTimeHours_1	FlyingTimeHours_2	FlyingTimeHours_3	FlyingTimeMins_1	FlyingTimeMins_2	FlyingTimeMins_3	TripTimeHours_1	TripTimeHours_2	TripTimeHours_3	TripTimeMins_1	TripTimeMins_2	TripTimeMins_3	Legroom_1	Legroom_2	Legroom_3	OneWayFare_1	OneWayFare_2	OneWayFare_3	Fare_1	Fare_2	Fare_3	BestAlternative_1	BestAlternative_2	BestAlternative_3	WorstAlternative_1	WorstAlternative_2	WorstAlternative_3	TripPurpose	WhoIsPaying	Reimbursed
10976	424	66	32	2	2	2	29	29	21	16399	2	11	16403	6	1	5	16343	16343	2	56	0	1	480	300	-3	2	290	470	2322	0	1	2	1	2	1	2	1	4	7	-1	1	1320	-1	1	3.5	4	2	79	2	6	4	11	5	-1	-1	1	3	1	8	-1	3	7	11	13	10	660	780	600	0	3	2	18.8333	22.8333	19.3333	1130	1370	1160	4.83333	5.33333	5.33333	290	320	320	4.83333	6.83333	6.33333	290	410	380	4	4	1	170	170	170	375	410	375	1	0	0	0	1	0	2	1	2
10989	425	253	97	6	7	6	52	52	41	16433	1	1	16461	1	1	29	16343	16343	2	90	0	2	300	480	3	0	277	97	1958	0	1	2	1	2	3	2	2	99	5	-1	1	720	-1	1	3.5	3	1	330	2	9	7	9	5	-1	-1	8	4	1	5	-1	2	7	18	7.5	15	1080	450	900	0	4	1	19.6167	11.6167	17.6167	1177	697	1057	4.61667	5.11667	5.11667	277	307	307	4.61667	7.11667	5.61667	277	427	337	2	2	2	199	199	199	360	315	270	0	0	1	0	1	0	2	1	2
11073	426	188	34	16	16	13	0	0	0	16387	4	3	16389	6	11	3	16343	16343	2	44	0	1	480	300	-3	2	332	512	2696	0	1	2	1	2	3	1	2	99	8	-1	2	-1	1020	1	2	5	1	331	1	6	5	1	6	-1	-1	7	1	5	6	-1	1	4	13	9	7	780	540	420	0	2	2	21.5333	19.0333	17.0333	1292	1142	1022	5.53333	6.03333	6.03333	332	362	362	5.53333	7.03333	7.03333	332	422	422	1	2	4	304	304	304	730	580	730	0	0	1	1	0	0	2	1	2
11128	427	55	2	4	4	4	5	5	5	16353	5	43	16354	6	28	2	16343	16343	2	10	0	1	480	480	0	1	58	58	226	0	1	2	1	2	1	3	1	1	9	-1	2	-1	780	2	3.5	9	2	161	1	6	2	2	1	-1	-1	6	1	4	8	-1	2	1	15	15	10.5	900	900	630	0	1	4	15.9667	16.9667	13.9667	958	1018	838	0.966667	1.46667	1.46667	58	88	88	0.966667	1.96667	3.46667	58	118	208	3	4	2	69	69	69	250	200	250	1	0	0	0	0	1	2	1	2
11130	428	152	24	13	13	11	5	5	5	16364	2	1	16367	5	1	4	16343	16343	2	21	0	1	360	480	2	0	200	80	1297	0	1	2	1	2	1	2	2	99	2	-1	1	720	-1	2	5	2	1	332	3	99	4	1	2	-1	-1	7	5	3	5	-1	1	4	15	9	10.5	900	540	630	0	4	1	16.3333	12.8333	12.8333	980	770	770	3.33333	3.83333	3.83333	200	230	230	3.33333	5.83333	4.33333	200	350	260	4	1	3	124	124	124	280	360	295	1	0	0	0	1	0	2	1	2
11151	429	214	98	21	21	16	25	26	20	16395	5	26	16402	5	26	8	16343	16343	2	52	0	2	480	300	-3	2	318	498	2428	0	1	2	1	2	1	3	1	4	4	-1	1	540	-1	2	5	11	1	333	2	7	7	8	5	-1	-1	9	2	2	3	-1	4	4	10	12	8	600	720	480	0	2	4	18.3	21.8	18.8	1098	1308	1128	5.3	5.8	5.8	318	348	348	5.3	6.8	7.8	318	408	468	1	1	3	257	257	257	735	695	930	1	0	0	0	0	1	2	1	2
11161	430	202	34	16	16	13	0	0	0	16353	5	9	16358	3	1	6	16343	16364	2	-11	1	1	480	300	-3	2	332	512	2696	0	1	1	2	0	1	3	0	99	9	-1	1	1140	-1	-1	-1	-1	-1	9	-1	-1	2	7	2	-1	-1	1	6	1	6	-1	5	5	13	11	6	780	660	360	0	2	3	21.5333	21.0333	16.5333	1292	1262	992	5.53333	6.03333	6.03333	332	362	362	5.53333	7.03333	7.53333	332	422	452	4	3	2	304	304	304	780	780	870	1	0	0	0	0	1	1	2	0
11192	431	182	90	6	7	6	16	16	13	16357	2	1	16371	2	1	15	16343	16343	2	14	0	2	300	480	3	0	296	116	2088	0	1	2	1	2	1	3	2	99	12	-1	2	-1	960	1	3.5	11	1	334	2	8	10	7	11	-1	-1	4	5	2	8	-1	7	7	9	13.5	10.5	540	810	630	0	4	4	10.9333	17.9333	14.9333	656	1076	896	4.93333	5.43333	5.43333	296	326	326	4.93333	7.43333	7.43333	296	446	446	3	3	4	209	209	209	525	550	605	1	0	0	0	0	1	2	1	2
11225	432	237	10	22	22	17	12	12	10	16347	6	9	-1	-1	6	-1	16343	16343	2	4	0	1	420	360	-1	2	111	171	656	0	1	1	2	0	1	2	0	99	15	-1	1	1050	-1	2	3.5	7	1	335	3	6	7	5	4	-1	-1	6	5	1	6	-1	5	5	12	13.5	13.5	720	810	810	0	4	2	14.85	18.85	17.85	891	1131	1071	1.85	2.35	2.35	111	141	141	1.85	4.35	3.35	111	261	201	3	4	3	159	159	159	290	215	255	1	0	0	0	1	0	1	2	0
11313	433	229	8	19	20	15	16	16	13	16499	4	1	16502	0	1	4	16344	16344	3	155	0	1	360	480	2	0	270	150	1855	0	1	2	1	0	1	3	2	99	6	-1	1	1080	-1	2	3.5	10	1	336	2	6	5	3	1	-1	-1	2	5	8	4	-1	3	3	16.5	9	13.5	990	540	810	0	4	3	19	14	18	1140	840	1080	4.5	5	5	270	300	300	4.5	7	6.5	270	420	390	4	2	4	230	230	230	330	415	415	1	0	0	0	0	1	2	1	0
11344	434	204	99	28	18	14	52	52	41	16356	1	18	16379	3	24	24	16344	16344	3	12	0	2	300	480	3	0	343	163	2342	0	1	1	1	2	1	2	2	99	5	-1	1	660	-1	1	3.5	4	2	337	2	6	1	1	1	-1	-1	4	7	1	3	-1	8	2	18	10.5	12	1080	630	720	0	2	2	20.7167	14.7167	16.2167	1243	883	973	5.71667	6.21667	6.21667	343	373	373	5.71667	7.21667	7.21667	343	433	433	2	4	2	194	194	194	560	440	465	1	0	0	0	1	0	1	1	2
11353	435	183	82	25	26	20	2	2	2	16345	4	1	16347	6	1	3	16344	16365	3	-20	1	2	300	480	3	0	348	168	2456	0	1	2	2	0	1	2	2	99	6	-1	1	1080	-1	1	3.5	14	2	338	2	8	4	1	4	-1	-1	7	4	2	1	-1	2	6	9	12	13.5	540	720	810	0	4	1	11.8	17.3	17.3	708	1038	1038	5.8	6.3	6.3	348	378	378	5.8	8.3	6.8	348	498	408	1	4	4	228	228	228	650	755	790	1	0	0	0	1	0	2	2	0
11363	436	83	42	9	9	8	37	37	29	16346	5	1	16348	0	3	3	16344	16344	3	2	0	1	300	300	0	1	109	109	582	0	1	2	1	2	1	2	1	4	10	-1	2	-1	600	1	3.5	9	2	339	2	6	7	1	4	-1	-1	3	3	2	2	-1	3	6	10.5	15	15	630	900	900	0	3	2	12.3167	18.8167	18.3167	739	1129	1099	1.81667	2.31667	2.31667	109	139	139	1.81667	3.81667	3.31667	109	229	199	3	2	3	115	115	115	245	275	275	1	0	0	0	1	0	2	1	2
11368	437	26	53	39	39	31	14	15	12	16416	5	1	16418	0	1	3	16344	16344	3	72	0	1	360	300	-1	2	155	215	1060	0	1	2	1	2	1	2	2	99	4	-1	1	540	-1	4	3.5	9	2	340	2	6	6	9	7	-1	-1	5	6	3	3	-1	3	8	12	10	8	720	600	480	0	2	2	15.5833	15.0833	13.0833	935	905	785	2.58333	3.08333	3.08333	155	185	185	2.58333	4.08333	4.08333	155	245	245	4	3	3	119	119	119	155	215	165	1	0	0	0	1	0	2	1	2
11400	438	176	27	13	13	11	12	12	10	16347	6	1	16350	2	1	4	16344	16344	3	3	0	1	360	360	0	1	149	149	859	0	1	1	2	0	1	3	2	99	21	-1	2	-1	480	1	3.5	8	1	341	4	6	5	6	7	-1	-1	10	5	1	2	-1	7	6	18	16.5	18	1080	990	1080	0	4	4	20.4833	21.4833	22.9833	1229	1289	1379	2.48333	2.98333	2.98333	149	179	179	2.48333	4.98333	4.98333	149	299	299	4	1	2	159	159	159	290	350	290	1	0	0	0	0	1	1	2	0
11481	439	86	14	16	16	13	3	3	3	16399	2	1	16404	0	1	6	16344	16344	3	55	0	1	480	480	0	1	118	118	669	0	1	2	1	2	1	2	2	99	6	-1	2	-1	720	2	3.5	10	1	32	2	7	1	7	5	-1	-1	2	3	5	6	-1	3	2	7.5	13.5	18	450	810	1080	0	1	2	9.46667	16.4667	21.4667	568	988	1288	1.96667	2.46667	2.46667	118	148	148	1.96667	2.96667	3.46667	118	178	208	1	4	4	99	99	99	285	330	270	1	0	0	0	1	0	2	1	2
11485	440	115	100	0	0	0	21	21	16	16351	3	1	16355	0	1	5	16344	16344	3	7	0	2	300	480	3	0	359	179	2581	0	1	1	2	0	2	1	2	99	3	-1	1	360	-1	1	2	3	2	241	2	6	7	1	2	-1	-1	5	6	8	7	-1	6	7	13.5	7.5	13.5	810	450	810	0	1	3	16.4833	11.4833	18.4833	989	689	1109	5.98333	6.48333	6.48333	359	389	389	5.98333	6.98333	7.98333	359	419	479	1	4	1	236	236	236	410	375	355	0	1	0	1	0	0	1	2	0
11501	441	72	13	24	24	19	14	15	12	16378	2	11	16383	0	21	6	16344	16344	3	34	0	1	300	300	0	1	151	151	857	0	1	4	1	2	1	3	2	99	0	-1	0	-1	-1	2	3.5	8	1	13	6	5	1	5	1	-1	-1	5	5	1	3	-1	2	4	9	13.5	7.5	540	810	450	0	3	3	11.5167	18.0167	12.0167	691	1081	721	2.51667	3.01667	3.01667	151	181	181	2.51667	4.51667	4.51667	151	271	271	1	1	3	111	111	111	335	335	370	1	0	0	0	0	1	4	1	2
11508	442	63	86	3	3	3	9	9	8	16384	1	26	16390	0	26	7	16344	16344	3	40	0	2	480	300	-3	2	278	458	2175	0	1	2	1	2	3	2	1	4	4	-1	2	-1	540	2	3.5	5	1	137	2	6	6	8	3	-1	-1	6	3	1	1	-1	6	3	12	13	6	720	780	360	0	4	3	19.6333	23.1333	15.6333	1178	1388	938	4.63333	5.13333	5.13333	278	308	308	4.63333	7.13333	6.63333	278	428	398	2	1	1	237	237	237	685	655	625	0	0	1	0	1	0	2	1	2
11521	443	140	39	32	26	24	35	35	27	16426	1	13	16434	2	1	9	16344	16344	3	82	0	1	300	300	0	1	171	171	1007	0	1	2	1	2	1	3	1	2	3	-1	1	1110	-1	3	5	6	2	342	5	3	6	2	7	-1	-1	1	4	3	3	-1	1	7	10.5	15	16.5	630	900	990	0	3	3	13.35	19.85	21.35	801	1191	1281	2.85	3.35	3.35	171	201	201	2.85	4.85	4.85	171	291	291	3	2	2	137	137	137	265	305	320	1	0	0	0	0	1	2	1	2
11522	444	114	101	28	18	14	2	2	2	16428	3	26	16438	6	26	11	16344	16344	3	84	0	2	300	480	3	0	321	141	2304	0	1	2	1	2	3	2	2	99	8	-1	1	1140	-1	1	3.5	8	2	20	4	3	3	5	3	-1	-1	5	6	4	6	-1	4	7	7.5	9	13.5	450	540	810	0	3	1	9.85	13.35	16.85	591	801	1011	5.35	5.85	5.85	321	351	351	5.35	7.35	6.35	321	441	381	3	1	1	216	216	216	780	750	750	0	0	1	0	1	0	2	1	2
11556	445	217	19	30	30	22	12	12	10	16358	3	1	16362	0	1	5	16344	16344	3	14	0	1	300	360	1	0	149	89	918	0	1	2	1	2	1	2	1	4	10	-1	1	1080	-1	1	3.5	8	1	343	2	8	10	10	2	-1	-1	5	1	7	7	-1	1	1	9	7.5	7.5	540	450	450	0	2	2	10.4833	10.4833	10.4833	629	629	629	2.48333	2.98333	2.98333	149	179	179	2.48333	3.98333	3.98333	149	239	239	2	4	2	225	225	225	535	675	565	1	0	0	0	1	0	2	1	2
11568	446	206	72	3	3	3	0	0	0	16421	3	0	16425	0	0	5	16344	16344	3	77	0	2	480	300	-3	2	312	492	2487	0	1	4	1	2	1	2	2	99	6	-1	2	-1	960	1	3.5	8	2	250	2	7	2	4	5	-1	-1	9	1	3	4	-1	5	6	7	10	6	420	600	360	0	4	1	15.2	20.7	15.2	912	1242	912	5.2	5.7	5.7	312	342	342	5.2	7.7	6.2	312	462	372	3	3	1	243	243	243	560	585	465	1	0	0	0	1	0	4	1	2
11582	447	170	36	16	16	13	12	12	10	16373	4	1	16375	6	1	3	16344	16344	3	29	0	1	480	360	-2	2	209	329	1482	0	1	2	1	2	1	3	1	4	10	-1	2	-1	1140	1	3.5	8	1	344	1	7	4	2	6	-1	-1	3	2	8	2	-1	2	5	14	9	11	840	540	660	0	2	3	19.4833	15.9833	18.4833	1169	959	1109	3.48333	3.98333	3.98333	209	239	239	3.48333	4.98333	5.48333	209	299	329	2	4	3	258	258	258	520	595	595	1	0	0	0	0	1	2	1	2
11648	448	156	69	24	24	19	21	21	16	16455	2	3	16458	5	21	4	16344	16344	3	111	0	1	300	480	3	0	350	170	2363	0	1	2	1	1	3	1	2	99	8	-1	1	240	-1	1	3.5	13	1	345	2	9	6	6	2	-1	-1	4	1	6	6	-1	8	8	16.5	15	13.5	990	900	810	0	1	2	19.3333	18.8333	17.8333	1160	1130	1070	5.83333	6.33333	6.33333	350	380	380	5.83333	6.83333	7.33333	350	410	440	3	3	1	228	228	228	460	460	435	0	0	1	1	0	0	2	1	1
11654	449	24	88	0	0	0	16	16	13	16373	4	1	16383	0	1	11	16344	16344	3	29	0	2	300	480	3	0	381	201	2696	0	1	4	1	1	3	1	1	4	7	-1	1	1110	-1	1	3.5	4	2	346	2	6	5	3	1	-1	-1	5	8	3	1	-1	7	5	8	14	14	480	840	840	0	2	2	11.35	18.85	18.85	681	1131	1131	6.35	6.85	6.85	381	411	411	6.35	7.85	7.85	381	471	471	3	1	1	307	307	307	1110	1060	830	0	0	1	1	0	0	4	1	1
11655	450	200	51	8	8	7	4	4	4	16355	0	1	-1	-1	6	-1	16344	16344	3	11	0	1	480	480	0	1	75	75	371	0	1	2	1	2	2	3	1	4	7	-1	1	1155	-1	5	3.5	12	2	347	2	6	3	3	2	-1	-1	7	7	2	1	-1	2	6	7.5	10.5	7.5	450	630	450	0	2	4	8.75	13.25	11.25	525	795	675	1.25	1.75	1.75	75	105	105	1.25	2.75	3.75	75	165	225	2	3	1	77	77	77	130	125	140	0	1	0	0	0	1	2	1	2
11685	451	102	80	2	2	2	9	9	8	16373	4	1	16376	0	1	4	16344	16344	3	29	0	2	480	300	-3	2	259	439	1940	0	1	1	1	2	2	3	1	4	3	-1	2	-1	990	1	2	9	1	348	2	2	1	5	11	-1	-1	3	4	8	4	-1	1	6	11	13	9	660	780	540	0	3	3	18.3167	22.3167	18.3167	1099	1339	1099	4.31667	4.81667	4.81667	259	289	289	4.31667	6.31667	6.31667	259	379	379	4	4	4	222	222	222	670	585	500	0	1	0	0	0	1	1	1	2
11691	452	16	78	2	2	2	24	24	19	16364	2	1	16368	6	1	5	16344	16398	1	-34	1	2	480	300	-3	2	313	493	2395	0	1	2	1	2	1	3	2	99	5	5	1	1380	-1	1	3	9	2	78	2	3	3	4	6	-1	-1	2	2	1	8	-1	3	7	10	12	6	600	720	360	0	1	3	18.2167	21.2167	16.2167	1093	1273	973	5.21667	5.71667	5.71667	313	343	343	5.21667	6.21667	7.21667	313	373	433	3	3	4	231	231	231	550	550	495	1	0	0	0	0	1	2	1	2
11726	453	99	29	2	2	2	19	20	15	16415	4	11	16420	2	11	6	16344	16344	3	71	0	1	480	360	-2	2	236	356	1752	0	1	1	2	0	1	3	1	4	12	-1	1	1050	-1	1	3.5	12	1	246	1	6	7	5	4	-1	-1	6	8	2	2	-1	1	3	12	10	14	720	600	840	0	2	3	17.9333	17.4333	21.9333	1076	1046	1316	3.93333	4.43333	4.43333	236	266	266	3.93333	5.43333	5.93333	236	326	356	4	3	2	182	182	182	520	575	605	1	0	0	0	0	1	1	2	0
11739	454	34	7	16	16	13	17	18	14	16349	1	1	16350	2	1	2	16344	16394	4	-45	1	1	480	300	-3	2	299	479	2436	0	1	1	2	0	1	2	2	99	21	6	2	-1	840	1	4	10	1	349	1	6	1	2	7	-1	-1	10	7	8	8	-1	6	4	12	10	7	720	600	420	0	2	1	19.9833	19.4833	15.9833	1199	1169	959	4.98333	5.48333	5.48333	299	329	329	4.98333	6.48333	5.98333	299	389	359	2	3	4	385	385	385	1275	1155	985	1	0	0	0	1	0	1	2	0
11755	455	90	10	22	22	17	12	12	10	16372	3	11	16375	6	11	4	16344	16344	3	28	0	1	420	360	-1	2	111	171	656	0	1	2	1	2	1	2	1	4	9	-1	1	1140	-1	2	3.5	14	1	350	2	6	6	4	4	-1	-1	11	5	5	8	-1	5	6	10.5	18	18	630	1080	1080	0	2	2	13.35	22.35	22.35	801	1341	1341	1.85	2.35	2.35	111	141	141	1.85	3.35	3.35	111	201	201	2	4	2	159	159	159	340	400	480	1	0	0	0	1	0	2	1	2
11797	456	140	94	25	26	20	16	16	13	16526	3	19	16536	6	35	11	16344	16344	3	182	0	2	300	480	3	0	369	189	2567	0	1	3	2	0	1	3	1	99	1	-1	2	-1	1350	1	5	2	1	351	2	9	6	2	7	-1	-1	1	4	3	3	-1	1	7	9	12	13	540	720	780	0	3	3	12.15	17.15	18.15	729	1029	1089	6.15	6.65	6.65	369	399	399	6.15	8.15	8.15	369	489	489	3	2	2	265	265	265	505	585	610	1	0	0	0	0	1	3	2	0
11841	457	12	35	3	3	3	14	15	12	16386	3	26	16392	2	26	7	16344	16344	3	42	0	1	480	300	-3	2	320	500	2542	0	1	2	1	2	1	2	2	99	4	-1	2	-1	1080	1	6	6	1	352	6	6	2	6	5	-1	-1	7	2	3	4	-1	7	3	13	8	9	780	480	540	0	1	4	21.3333	17.3333	19.8333	1280	1040	1190	5.33333	5.83333	5.83333	320	350	350	5.33333	6.33333	7.83333	320	380	470	4	2	4	133	133	133	200	220	220	1	0	0	0	1	0	2	1	2
11859	458	216	79	29	29	21	2	2	2	16352	4	1	16355	0	1	4	16344	16377	1	-25	1	2	300	480	3	0	321	141	2322	0	1	2	1	2	1	3	1	4	5	-1	1	540	-1	1	3.5	4	2	353	99	99	3	8	1	-1	-1	4	7	4	5	-1	1	5	9	15	15	540	900	900	0	3	2	11.35	19.35	18.85	681	1161	1131	5.35	5.85	5.85	321	351	351	5.35	7.35	6.85	321	441	411	2	3	4	216	216	216	780	780	555	1	0	0	0	0	1	2	1	2
11884	459	120	30	0	0	0	3	3	3	16365	3	1	16391	1	1	27	16344	16344	3	21	0	1	300	480	3	0	370	190	2487	0	1	2	1	2	1	3	2	99	10	-1	1	480	-1	1	3.5	99	2	13	99	99	5	7	1	-1	-1	5	7	8	4	-1	1	6	11	13	9	660	780	540	0	1	2	14.1667	17.1667	13.6667	850	1030	820	6.16667	6.66667	6.66667	370	400	400	6.16667	7.16667	7.66667	370	430	460	3	3	1	237	237	237	405	525	475	1	0	0	0	0	1	2	1	2
11954	460	9	70	6	7	6	2	2	2	16576	4	1	16584	5	1	9	16344	16344	3	232	0	2	300	480	3	0	281	101	1989	0	1	2	1	2	3	2	2	99	7	-1	1	510	-1	2	3.5	9	2	354	2	7	2	3	4	-1	-1	3	5	8	7	-1	6	7	15	9	7.5	900	540	450	0	3	2	16.6833	12.6833	10.6833	1001	761	641	4.68333	5.18333	5.18333	281	311	311	4.68333	6.68333	6.18333	281	401	371	2	3	4	181	181	181	490	600	490	0	0	1	0	1	0	2	1	2
11969	461	213	67	12	12	10	37	37	29	16396	6	9	16403	6	9	8	16344	16359	4	37	1	1	360	300	-1	2	168	228	1099	0	1	2	1	2	1	2	2	99	3	-1	1	600	-1	3	3.5	10	2	355	2	6	10	1	5	-1	-1	3	4	4	3	-1	3	6	8	13	10	480	780	600	0	1	1	11.8	17.8	14.8	708	1068	888	2.8	3.3	3.3	168	198	198	2.8	3.8	3.8	168	228	228	2	1	4	161	161	161	375	375	390	1	0	0	0	1	0	2	1	2
11981	462	37	99	28	18	14	52	52	41	16353	5	43	16359	4	16	7	16344	16344	3	9	0	2	300	480	3	0	343	163	2342	0	1	1	2	0	1	2	1	4	10	-1	1	600	-1	1	3.5	4	2	356	5	7	3	5	7	-1	-1	3	7	5	7	-1	5	1	13.5	12	10.5	810	720	630	0	3	1	16.2167	16.7167	14.2167	973	1003	853	5.71667	6.21667	6.21667	343	373	373	5.71667	7.71667	6.71667	343	463	403	2	4	2	194	194	194	485	535	465	1	0	0	0	1	0	1	2	0
11992	463	115	21	2	2	2	25	26	20	16358	3	12	16363	1	16	6	16344	16371	2	-13	1	1	480	300	-3	2	318	498	2456	0	1	2	1	2	2	1	2	99	10	-1	1	450	-1	1	5	5	1	357	2	6	7	1	2	-1	-1	5	6	8	7	-1	6	7	10	6	10	600	360	600	0	1	3	18.3	15.3	20.3	1098	918	1218	5.3	5.8	5.8	318	348	348	5.3	6.3	7.3	318	378	438	1	4	1	294	294	294	510	465	445	0	1	0	1	0	0	2	1	2
12009	464	67	94	25	26	20	16	16	13	16370	1	20	16373	4	16	4	16344	16344	3	26	0	2	300	480	3	0	369	189	2567	0	1	1	2	0	1	2	2	99	21	-1	2	-1	780	1	3.5	6	1	358	2	4	2	6	6	-1	-1	4	8	2	3	-1	6	2	9	7	7	540	420	420	0	1	4	12.15	11.15	12.65	729	669	759	6.15	6.65	6.65	369	399	399	6.15	7.15	8.65	369	429	519	1	3	3	265	265	265	640	610	480	1	0	0	0	1	0	1	2	0
12076	465	228	102	21	21	16	24	24	19	16427	2	37	16434	2	27	8	16344	16344	3	83	0	2	480	300	-3	2	310	490	2363	0	1	2	1	2	1	3	1	4	5	-1	1	840	-1	2	3.5	5	2	223	2	6	2	1	7	-1	-1	2	6	7	5	-1	2	3	8	10	8	480	600	480	0	3	2	16.1667	20.1667	17.6667	970	1210	1060	5.16667	5.66667	5.66667	310	340	340	5.16667	7.16667	6.66667	310	430	400	4	4	1	227	227	227	410	410	545	1	0	0	0	0	1	2	1	2
12088	466	79	1	2	2	2	3	3	3	16349	1	11	16351	3	11	3	16344	16344	3	5	0	1	480	480	0	1	152	152	955	0	1	1	2	0	1	2	2	99	21	-1	2	-1	1110	2	3.5	4	1	359	1	3	2	3	2	-1	-1	5	4	1	6	-1	7	1	9	12	12	540	720	720	0	3	2	11.5333	16.5333	16.0333	692	992	962	2.53333	3.03333	3.03333	152	182	182	2.53333	4.53333	4.03333	152	272	242	3	2	3	116	116	116	280	335	320	1	0	0	0	1	0	1	2	0
12099	467	221	103	51	51	40	27	20	15	16366	4	1	16368	6	1	3	16344	16344	3	22	0	1	300	360	1	0	120	60	584	0	1	2	1	2	1	3	2	99	10	-1	2	-1	900	1	3.5	9	1	360	2	9	2	2	11	-1	-1	1	7	7	6	-1	5	4	16.5	7.5	18	990	450	1080	0	3	1	17.5	10.5	20	1050	630	1200	2	2.5	2.5	120	150	150	2	4	3	120	240	180	1	2	4	161	161	161	290	340	355	1	0	0	0	0	1	2	1	2
12104	468	21	15	16	16	13	25	26	20	16359	4	1	16362	0	1	4	16344	16344	3	15	0	1	480	300	-3	2	320	500	2567	0	1	2	1	2	1	2	1	4	9	-1	1	600	-1	1	3.5	9	1	361	3	6	4	5	4	-1	-1	2	6	2	1	-1	8	3	13	11	8	780	660	480	0	1	4	21.3333	20.3333	18.8333	1280	1220	1130	5.33333	5.83333	5.83333	320	350	350	5.33333	6.33333	7.83333	320	380	470	2	1	1	338	338	338	720	1015	765	1	0	0	0	1	0	2	1	2
12121	469	235	7	16	16	13	17	18	14	16386	3	2	16392	2	2	7	16344	16344	3	42	0	1	480	300	-3	2	299	479	2436	0	1	2	1	2	3	2	2	99	3	-1	1	600	-1	1	3.5	6	2	362	2	7	9	7	1	-1	-1	7	2	8	6	-1	8	6	9	7	13	540	420	780	0	2	1	16.9833	16.4833	21.9833	1019	989	1319	4.98333	5.48333	5.48333	299	329	329	4.98333	6.48333	5.98333	299	389	359	1	1	2	385	385	385	550	550	495	0	0	1	0	1	0	2	1	2
12165	470	224	41	17	18	14	36	36	28	16431	6	2	16438	6	2	8	16344	16344	3	87	0	1	300	300	0	1	151	151	923	0	1	2	1	2	1	3	2	99	99	-1	2	-1	720	5	3.5	14	2	363	2	6	3	2	11	-1	-1	9	4	5	1	-1	8	7	10.5	9	15	630	540	900	0	2	3	13.0167	13.0167	19.5167	781	781	1171	2.51667	3.01667	3.01667	151	181	181	2.51667	4.01667	4.51667	151	241	271	4	3	2	149	149	149	515	515	540	1	0	0	0	0	1	2	1	2
12166	471	194	104	52	52	41	53	53	42	16349	1	1	16351	3	1	3	16344	16344	3	5	0	1	480	420	-1	2	66	126	343	0	1	1	1	2	2	1	1	99	8	-1	2	-1	1170	1	5	8	1	364	2	6	2	2	10	-1	-1	1	3	5	2	-1	1	7	9	16.5	13.5	540	990	810	0	1	4	11.1	19.6	18.1	666	1176	1086	1.1	1.6	1.6	66	96	96	1.1	2.1	3.6	66	126	216	2	1	1	64	64	64	160	145	170	0	1	0	1	0	0	1	1	2
12179	472	83	100	0	0	0	21	21	16	16388	5	0	16406	2	11	19	16344	16344	3	44	0	2	300	480	3	0	359	179	2581	0	1	2	1	2	1	2	1	4	0	-1	1	1320	-1	1	3.5	4	1	365	8	2	7	1	4	-1	-1	3	3	2	2	-1	3	6	10.5	15	15	630	900	900	0	3	2	13.4833	19.9833	19.4833	809	1199	1169	5.98333	6.48333	6.48333	359	389	389	5.98333	7.98333	7.48333	359	479	449	3	2	3	236	236	236	505	565	565	1	0	0	0	1	0	2	1	2
12182	473	32	15	16	16	13	25	26	20	16477	3	1	16481	0	1	5	16344	16398	1	79	1	1	480	300	-3	2	320	500	2567	0	1	2	1	0	1	2	2	99	6	2	1	600	-1	1	3	4	1	122	2	6	1	3	5	-1	-1	4	8	5	6	-1	1	4	9	8	11	540	480	660	0	4	3	17.3333	18.8333	21.3333	1040	1130	1280	5.33333	5.83333	5.83333	320	350	350	5.33333	7.83333	7.33333	320	470	440	2	1	1	338	338	338	720	1015	975	1	0	0	0	1	0	2	1	0
